,err_prob,n_checks,Encoded blocks, source block size, encoded block size,Decoded blocks,valid blocks,Average iterations, bit changes %, Decoding time (milli-seconds),Block counts tot, with chk errs, with src errs, both,Bit error rate (on message bits only),1-BLER,shannon,real_key,eff_key
87,0.05,325,592.0,675.0,1000.0,592.0,523.0,38.5,3.0,7.521,592.0,69.0,69.0,69.0,0.004615,0.8834459459459459,0.28639695711595625,0.38860304288404374,0.34330978281816704
88,0.05,350,615.0,650.0,1000.0,615.0,592.0,16.8,3.0,0.348,615.0,23.0,23.0,23.0,0.001328,0.9626016260162602,0.28639695711595625,0.36360304288404377,0.3500048803046405
89,0.05,375,640.0,625.0,1000.0,640.0,639.0,6.1,3.0,0.199,640.0,1.0,1.0,1.0,7.25e-05,0.9984375,0.28639695711595625,0.33860304288404375,0.33807397562953745
90,0.05,400,666.0,600.0,1000.0,666.0,666.0,4.5,3.0,0.224,666.0,0.0,0.0,0.0,0.0,1.0,0.28639695711595625,0.3136030428840437,0.3136030428840437
91,0.05,425,695.0,575.0,1000.0,695.0,695.0,3.9,3.0,0.208,695.0,0.0,0.0,0.0,0.0,1.0,0.28639695711595625,0.28860304288404376,0.28860304288404376
92,0.05,450,727.0,550.0,1000.0,727.0,727.0,3.5,3.0,0.146,727.0,0.0,0.0,0.0,0.0,1.0,0.28639695711595625,0.26360304288404374,0.26360304288404374
93,0.05,475,761.0,525.0,1000.0,761.0,761.0,3.1,3.0,0.136,761.0,0.0,0.0,0.0,0.0,1.0,0.28639695711595625,0.23860304288404377,0.23860304288404377
94,0.05,500,800.0,500.0,1000.0,800.0,800.0,2.9,3.0,0.127,800.0,0.0,0.0,0.0,0.0,1.0,0.28639695711595625,0.21360304288404375,0.21360304288404375
95,0.05,525,842.0,475.0,1000.0,842.0,842.0,2.7,2.0,0.096,842.0,0.0,0.0,0.0,0.0,1.0,0.28639695711595625,0.18860304288404373,0.18860304288404373
96,0.05,550,888.0,450.0,1000.0,888.0,888.0,2.5,2.0,0.075,888.0,0.0,0.0,0.0,0.0,1.0,0.28639695711595625,0.1636030428840437,0.1636030428840437
97,0.05,575,941.0,425.0,1000.0,941.0,941.0,2.3,2.0,0.107,941.0,0.0,0.0,0.0,0.0,1.0,0.28639695711595625,0.1386030428840438,0.1386030428840438
98,0.05,600,1000.0,400.0,1000.0,1000.0,1000.0,2.1,2.0,0.096,1000.0,0.0,0.0,0.0,0.0,1.0,0.28639695711595625,0.11360304288404377,0.11360304288404377
99,0.05,625,1066.0,375.0,1000.0,1066.0,1066.0,2.0,2.0,0.073,1066.0,0.0,0.0,0.0,0.0,1.0,0.28639695711595625,0.08860304288404375,0.08860304288404375
100,0.05,650,1142.0,350.0,1000.0,1142.0,1142.0,1.9,2.0,0.099,1142.0,0.0,0.0,0.0,0.0,1.0,0.28639695711595625,0.06360304288404373,0.06360304288404373
101,0.05,675,1230.0,325.0,1000.0,1230.0,1230.0,1.8,2.0,0.081,1230.0,0.0,0.0,0.0,0.0,1.0,0.28639695711595625,0.0386030428840437,0.0386030428840437
102,0.05,700,1333.0,300.0,1000.0,1333.0,1333.0,1.7,2.0,0.083,1333.0,0.0,0.0,0.0,0.0,1.0,0.28639695711595625,0.013603042884043792,0.013603042884043792
